Date,Open,High,Low,Close,Volume
2017-08-01,2871.30,2921.35,2685.61,2718.26,1324669952
2017-08-02,2727.13,2762.53,2668.59,2710.67,1094950016
2017-08-03,2709.56,2813.31,2685.14,2804.73,804796992
2017-08-04,2806.93,2899.33,2743.72,2895.89,1002120000
2017-08-05,2897.63,3290.01,2874.83,3252.91,1945699968
2017-08-06,3257.61,3293.29,3155.60,3213.94,1105030016
2017-08-07,3212.78,3397.68,3180.89,3378.94,1482279936
2017-08-08,3370.22,3484.85,3345.83,3419.94,1752760064
2017-08-09,3420.40,3422.76,3247.67,3342.47,1468960000
2017-08-10,3341.84,3453.45,3319.47,3381.28,1515110016
2017-08-11,3373.82,3679.72,3372.12,3650.62,2021190016
2017-08-12,3650.63,3949.92,3613.70,3884.71,2219589888
2017-08-13,3880.04,4208.39,3857.80,4073.26,3159089920
2017-08-14,4066.10,4325.13,3989.16,4325.13,2463089920
2017-08-15,4326.99,4455.97,3906.18,4181.93,3258050048
2017-08-16,4200.34,4381.23,3994.42,4376.63,2272039936
2017-08-17,4384.44,4484.70,4243.71,4331.69,2553359872
2017-08-18,4324.34,4370.13,4015.40,4160.62,2941710080
2017-08-19,4137.75,4243.26,3970.55,4193.70,2975820032
2017-08-20,4189.31,4196.29,4069.88,4087.66,2109769984
2017-08-21,4090.48,4109.14,3988.60,4001.74,2800890112
2017-08-22,3998.35,4128.76,3674.58,4100.52,3764239872
2017-08-23,4089.01,4255.78,4078.41,4151.52,2369819904
2017-08-24,4137.60,4376.39,4130.26,4334.68,2037750016
2017-08-25,4332.82,4455.70,4307.35,4371.60,1727970048
2017-08-26,4372.06,4379.28,4269.52,4352.40,1511609984
2017-08-27,4345.10,4416.59,4317.29,4382.88,1537459968
2017-08-28,4384.45,4403.93,4224.64,4382.66,1959330048
2017-08-29,4389.21,4625.68,4352.13,4579.02,2486080000
2017-08-30,4570.36,4626.52,4471.41,4565.30,1937849984
2017-08-31,4555.59,4736.05,4549.40,4703.39,1944930048
2017-09-01,4701.76,4892.01,4678.53,4892.01,2599079936
2017-09-02,4901.42,4975.04,4469.24,4578.77,2722139904
2017-09-03,4585.27,4714.08,4417.59,4582.96,1933190016
2017-09-04,4591.63,4591.63,4108.40,4236.31,2987330048
2017-09-05,4228.29,4427.84,3998.11,4376.53,2697969920
2017-09-06,4376.59,4617.25,4376.59,4597.12,2172100096
2017-09-07,4589.14,4655.04,4491.33,4599.88,1844620032
2017-09-08,4605.16,4661.00,4075.18,4228.75,2700890112
2017-09-09,4229.81,4308.82,4114.11,4226.06,1386230016
2017-09-10,4229.34,4245.44,3951.04,4122.94,1679090048
2017-09-11,4122.47,4261.67,4099.40,4161.27,1557330048
2017-09-12,4168.88,4344.65,4085.22,4130.81,1864530048
2017-09-13,4131.98,4131.98,3789.92,3882.59,2219409920
2017-09-14,3875.37,3920.60,3153.86,3154.95,2716310016
2017-09-15,3166.30,3733.45,2946.62,3637.52,4148069888
2017-09-16,3637.75,3808.84,3487.79,3625.04,1818400000
2017-09-17,3606.28,3664.81,3445.64,3582.88,1239149952
2017-09-18,3591.09,4079.23,3591.09,4065.20,1943209984
2017-09-19,4073.79,4094.07,3868.87,3924.97,1563980032
2017-09-20,3916.36,4031.39,3857.73,3905.95,1213830016
2017-09-21,3901.47,3916.42,3613.63,3631.04,1411480064
2017-09-22,3628.02,3758.27,3553.53,3630.70,1194829952
2017-09-23,3629.92,3819.21,3594.58,3792.40,928113984
2017-09-24,3796.15,3796.15,3666.90,3682.84,768014976
2017-09-25,3681.58,3950.25,3681.58,3926.07,1374210048
2017-09-26,3928.41,3969.89,3869.90,3892.35,1043740032
2017-09-27,3892.94,4210.05,3884.82,4200.67,1686880000
2017-09-28,4197.13,4279.31,4109.70,4174.73,1712320000
2017-09-29,4171.62,4214.63,4039.29,4163.07,1367049984
2017-09-30,4166.11,4358.43,4160.86,4338.71,1207449984
2017-10-01,4341.05,4403.74,4269.81,4403.74,1208210048
2017-10-02,4395.81,4470.23,4377.46,4409.32,1431730048
2017-10-03,4408.46,4432.47,4258.89,4317.48,1288019968
2017-10-04,4319.37,4352.31,4210.42,4229.36,1116770048
2017-10-05,4229.88,4362.64,4164.05,4328.41,1161769984
2017-10-06,4324.46,4413.27,4320.53,4370.81,1069939968
2017-10-07,4369.35,4443.88,4321.05,4426.89,906928000
2017-10-08,4429.67,4624.14,4405.64,4610.48,1313869952
2017-10-09,4614.52,4878.71,4564.25,4772.02,1968739968
2017-10-10,4776.21,4922.17,4765.10,4781.99,1597139968
2017-10-11,4789.25,4873.73,4751.63,4826.48,1222279936
2017-10-12,4829.58,5446.91,4822.00,5446.91,2791610112
2017-10-13,5464.16,5840.30,5436.85,5647.21,3615480064
2017-10-14,5643.53,5837.70,5591.64,5831.79,1669030016
2017-10-15,5835.96,5852.48,5478.61,5678.19,1976039936
2017-10-16,5687.57,5776.23,5544.21,5725.59,2008070016
2017-10-17,5741.58,5800.35,5472.72,5605.51,1821570048
2017-10-18,5603.82,5603.82,5151.44,5590.69,2399269888
2017-10-19,5583.74,5744.35,5531.06,5708.52,1780540032
2017-10-20,5708.11,6060.11,5627.23,6011.45,2354429952
2017-10-21,5996.79,6194.88,5965.07,6031.60,2207099904
2017-10-22,6036.66,6076.26,5792.34,6008.42,2034630016
2017-10-23,6006.00,6075.59,5732.47,5930.32,2401840128
2017-10-24,5935.52,5935.52,5504.18,5526.64,2735699968
2017-10-25,5524.60,5754.33,5397.88,5750.80,1966989952
2017-10-26,5747.95,5976.80,5721.22,5904.83,1905040000
2017-10-27,5899.74,5988.39,5728.82,5780.90,1710130048
2017-10-28,5787.82,5876.72,5689.19,5753.09,1403920000
2017-10-29,5754.44,6255.71,5724.58,6153.85,2859040000
2017-10-30,6114.85,6214.99,6040.85,6130.53,1772150016
2017-10-31,6132.02,6470.43,6103.33,6468.40,2311379968
2017-11-01,6440.97,6767.31,6377.88,6767.31,2870320128
2017-11-02,6777.77,7367.33,6758.72,7078.50,4653770240
2017-11-03,7087.53,7461.29,7002.94,7207.76,3369860096
2017-11-04,7164.48,7492.86,7031.28,7379.95,2483800064
2017-11-05,7404.52,7617.48,7333.19,7407.41,2380410112
2017-11-06,7403.22,7445.77,7007.31,7022.76,3111899904
2017-11-07,7023.10,7253.32,7023.10,7144.38,2326340096
2017-11-08,7141.38,7776.42,7114.02,7459.69,4602200064
2017-11-09,7446.83,7446.83,7101.52,7143.58,3226249984
2017-11-10,7173.73,7312.00,6436.87,6618.14,5208249856
2017-11-11,6618.61,6873.15,6204.22,6357.60,4908680192
2017-11-12,6295.45,6625.05,5519.01,5950.07,8957349888
2017-11-13,5938.25,6811.19,5844.29,6559.49,6263249920
2017-11-14,6561.48,6764.98,6461.75,6635.75,3197110016
2017-11-15,6634.76,7342.25,6634.76,7315.54,4200880128
2017-11-16,7323.24,7967.38,7176.58,7871.69,5123809792
2017-11-17,7853.57,8004.59,7561.09,7708.99,4651670016
2017-11-18,7697.21,7884.99,7463.44,7790.15,3667190016
2017-11-19,7766.03,8101.91,7694.10,8036.49,3149319936
2017-11-20,8039.07,8336.86,7949.36,8200.64,3488450048
2017-11-21,8205.74,8348.66,7762.71,8071.26,4277609984
2017-11-22,8077.95,8302.26,8075.47,8253.55,3633530112
2017-11-23,8232.38,8267.40,8038.77,8038.77,4225179904
2017-11-24,8074.02,8374.16,7940.93,8253.69,5058610176
2017-11-25,8241.71,8790.92,8191.15,8790.92,4342060032
2017-11-26,8789.04,9522.93,8775.59,9330.55,5475579904
2017-11-27,9352.72,9818.35,9352.72,9818.35,5653320192
2017-11-28,9823.43,10125.70,9736.30,10058.80,6348819968
2017-11-29,10077.40,11517.40,9601.03,9888.61,11568799744
2017-11-30,9906.79,10801.00,9202.05,10233.60,8310689792
2017-12-01,10198.60,11046.70,9694.65,10975.60,6783119872
2017-12-02,10978.30,11320.20,10905.10,11074.60,5138500096
2017-12-03,11082.70,11858.70,10862.00,11323.20,6608309760
2017-12-04,11315.40,11657.20,11081.80,11657.20,6132409856
2017-12-05,11685.70,12032.00,11604.60,11916.70,6895260160
2017-12-06,11923.40,14369.10,11923.40,14291.50,12656300032
2017-12-07,14266.10,17899.70,14057.30,17899.70,17950699520
2017-12-08,17802.90,18353.40,14336.90,16569.40,21135998976
2017-12-09,16523.30,16783.00,13674.90,15178.20,13911300096
2017-12-10,15168.40,15850.60,13226.60,15455.40,13433299968
2017-12-11,15427.40,17513.90,15404.80,16936.80,12153900032
2017-12-12,16919.80,17781.80,16571.60,17415.40,14603799552
2017-12-13,17500.00,17653.10,16039.70,16408.20,12976900096
2017-12-14,16384.60,17085.80,16185.90,16564.00,13777399808
2017-12-15,16601.30,18154.10,16601.30,17706.90,14309999616
2017-12-16,17760.30,19716.70,17515.30,19497.40,12740599808
2017-12-17,19475.80,20089.00,18974.10,19140.80,13314599936
2017-12-18,19106.40,19371.00,18355.90,19114.20,14839499776
2017-12-19,19118.30,19177.80,17275.40,17776.70,16894499840
2017-12-20,17760.30,17934.70,16077.70,16624.60,22149699584
2017-12-21,16642.40,17567.70,15342.70,15802.90,16516599808
2017-12-22,15898.00,15943.40,11833.00,13831.80,22197999616
2017-12-23,13948.70,15603.20,13828.80,14699.20,13086000128
2017-12-24,14608.20,14626.00,12747.70,13925.80,11572299776
2017-12-25,13995.90,14593.00,13448.90,14026.60,10664699904
2017-12-26,14036.60,16461.20,14028.90,16099.80,13454300160
2017-12-27,16163.50,16930.90,15114.30,15838.50,12487600128
2017-12-28,15864.10,15888.40,13937.30,14606.50,12336499712
2017-12-29,14695.80,15279.00,14307.00,14656.20,13025500160
2017-12-30,14681.90,14681.90,12350.10,12952.20,14452599808
2017-12-31,12897.70,14377.40,12755.60,14156.40,12136299520
2018-01-01,14112.20,14112.20,13154.70,13657.20,10291200000
2018-01-02,13625.00,15444.60,13163.60,14982.10,16846600192
2018-01-03,14978.20,15572.80,14844.50,15201.00,16871900160
2018-01-04,15270.70,15739.70,14522.20,15599.20,21783199744
2018-01-05,15477.20,17705.20,15202.80,17429.50,23840899072
2018-01-06,17462.10,17712.40,16764.60,17527.00,18314600448
2018-01-07,17527.30,17579.60,16087.70,16477.60,15866000384
2018-01-08,16476.20,16537.90,14208.20,15170.10,18413899776
2018-01-09,15123.70,15497.50,14424.00,14595.40,16659999744
2018-01-10,14588.50,14973.30,13691.20,14973.30,18500800512
2018-01-11,14968.20,15018.80,13105.90,13405.80,16534099968
2018-01-12,13453.90,14229.90,13158.10,13980.60,12065699840
2018-01-13,13952.40,14659.50,13952.40,14360.20,12763599872
2018-01-14,14370.80,14511.80,13268.00,13772.00,11084099584
2018-01-15,13767.30,14445.50,13641.70,13819.80,12750799872
2018-01-16,13836.10,13843.10,10194.90,11490.50,18853799936
2018-01-17,11431.10,11678.00,9402.29,11188.60,18830600192
2018-01-18,11198.80,12107.30,10942.50,11474.90,15020399616
2018-01-19,11429.80,11992.80,11172.10,11607.40,10740400128
2018-01-20,11656.20,13103.00,11656.20,12899.20,11801700352
2018-01-21,12889.20,12895.90,11288.20,11600.10,9935179776
2018-01-22,11633.10,11966.40,10240.20,10931.40,10537400320
2018-01-23,10944.50,11377.60,10129.70,10868.40,9660609536
2018-01-24,10903.40,11501.40,10639.80,11359.40,9940989952
2018-01-25,11421.70,11785.70,11057.40,11259.40,8873169920
2018-01-26,11256.00,11656.70,10470.30,11171.40,9746199552
2018-01-27,11174.90,11614.90,10989.20,11440.70,7583269888
2018-01-28,11475.30,12040.30,11475.30,11786.30,8350360064
2018-01-29,11755.50,11875.60,11179.20,11296.40,7107359744
2018-01-30,11306.80,11307.20,10036.20,10106.30,8637859840
2018-01-31,10108.20,10381.60,9777.42,10221.10,8041160192
2018-02-01,10237.30,10288.80,8812.28,9170.54,9959400448
2018-02-02,9142.28,9142.28,7796.49,8830.75,12726899712
2018-02-03,8852.12,9430.75,8251.63,9174.91,7263790080
2018-02-04,9175.70,9334.87,8031.22,8277.01,7073549824
2018-02-05,8270.54,8364.84,6756.68,6955.27,9285289984
2018-02-06,7051.75,7850.70,6048.26,7754.00,13999800320
2018-02-07,7755.49,8509.11,7236.79,7621.30,9169280000
2018-02-08,7637.86,8558.77,7637.86,8265.59,9346750464
2018-02-09,8271.84,8736.98,7884.71,8736.98,6784820224
2018-02-10,8720.08,9122.55,8295.47,8621.90,7780960256
2018-02-11,8616.13,8616.13,7931.10,8129.97,6122189824
2018-02-12,8141.43,8985.92,8141.43,8926.57,6256439808
2018-02-13,8926.72,8958.47,8455.41,8598.31,5696719872
2018-02-14,8599.92,9518.54,8599.92,9494.63,7909819904
2018-02-15,9488.32,10234.80,9395.58,10166.40,9062540288
2018-02-16,10135.70,10324.10,9824.82,10233.90,7296159744
2018-02-17,10207.50,11139.50,10149.40,11112.70,8660880384
2018-02-18,11123.40,11349.80,10326.00,10551.80,8744009728
2018-02-19,10552.60,11273.80,10513.20,11225.30,7652089856
2018-02-20,11231.80,11958.50,11231.80,11403.70,9926540288
2018-02-21,11372.20,11418.50,10479.10,10690.40,9405339648
2018-02-22,10660.40,11039.10,9939.09,10005.00,8040079872
2018-02-23,9937.07,10487.30,9734.56,10301.10,7739500032
2018-02-24,10287.70,10597.20,9546.97,9813.07,6917929984
2018-02-25,9796.42,9923.22,9407.06,9664.73,5706939904
2018-02-26,9669.43,10475.00,9501.73,10366.70,7287690240
2018-02-27,10393.90,10878.50,10246.10,10725.60,6966179840
2018-02-28,10687.20,11089.80,10393.10,10397.90,6936189952
2018-03-01,10385.00,11052.30,10352.70,10951.00,7317279744
2018-03-02,10977.40,11189.00,10850.10,11086.40,7620590080
2018-03-03,11101.90,11528.20,11002.40,11489.70,6690570240
2018-03-04,11497.40,11512.60,11136.10,11512.60,6084149760
2018-03-05,11532.40,11704.10,11443.90,11573.30,6468539904
2018-03-06,11500.10,11500.10,10694.30,10779.90,6832169984
2018-03-07,10803.90,10929.50,9692.12,9965.57,8797910016
2018-03-08,9951.44,10147.40,9335.87,9395.01,7186089984
2018-03-09,9414.69,9466.35,8513.03,9337.55,8704190464
